City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
222,Avera,US,33.194,-82.5271,63.55,83,9,5.03,clear sky
223,Pindiga,NG,9.9833,10.9333,85.28,57,100,3.49,overcast clouds
224,Pacific Grove,US,36.6177,-121.9166,60.03,91,100,5.99,overcast clouds
225,Chake Chake,TZ,-5.2459,39.7666,79.02,78,63,12.5,light rain
226,Bardiyah,LY,31.7561,25.0865,77.38,59,2,12.86,clear sky
227,Keetmanshoop,NA,-26.5833,18.1333,89.24,9,81,16.06,broken clouds
228,Salalah,OM,17.0151,54.0924,84.29,84,75,14.97,broken clouds
229,Kargil,IN,34.5667,76.1,40.59,96,100,3.76,overcast clouds
230,Kerman,IR,30.2832,57.0788,87.66,12,0,6.91,clear sky
231,Okmulgee,US,35.6234,-95.9605,71.38,100,0,9.22,clear sky
232,Geraldton,AU,-28.7667,114.6,59.41,77,0,10.36,clear sky
233,Bira,RU,49.0,132.4667,51.1,94,5,2.19,clear sky
234,Nueve De Julio,AR,-35.4444,-60.8831,54.97,77,60,1.99,broken clouds
235,Ciudad Bolivar,VE,8.1222,-63.5497,80.24,78,99,6.38,overcast clouds
236,Pauini,BR,-7.7136,-66.9764,79.83,72,93,0.72,overcast clouds
237,Miri,MY,4.4148,114.0089,78.94,89,20,3.44,few clouds
238,Saint George,US,37.1041,-113.5841,63.19,34,0,0.0,clear sky
239,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,80.53,66,14,11.32,few clouds
240,Taoudenni,ML,22.6783,-3.9836,110.62,9,61,16.22,broken clouds
241,Mustafakemalpasa,TR,40.0353,28.4117,71.65,18,4,5.55,clear sky
242,Torbay,CA,47.6666,-52.7314,58.57,77,75,20.71,broken clouds
243,Coihaique,CL,-45.5752,-72.0662,42.75,81,75,5.75,broken clouds
244,Carutapera,BR,-1.195,-46.02,84.96,63,15,8.93,few clouds
245,East London,ZA,-33.0153,27.9116,83.34,61,0,5.75,clear sky
246,Half Moon Bay,US,37.4636,-122.4286,62.49,93,100,6.91,overcast clouds
247,Mahajanga,MG,-15.7167,46.3167,89.62,45,20,13.8,few clouds
248,Tournon-Sur-Rhone,FR,45.0667,4.8333,68.34,56,20,10.36,few clouds
249,Hofn,IS,64.2539,-15.2082,45.52,50,17,26.08,few clouds
250,Kropotkin,RU,45.4375,40.5756,64.67,41,16,17.43,few clouds
251,Cape Coast,GH,5.1053,-1.2466,80.15,78,92,10.33,light rain
252,Constitucion,CL,-35.3333,-72.4167,50.43,81,90,3.78,overcast clouds
253,Vostok,RU,46.4856,135.8833,49.1,82,95,4.09,overcast clouds
254,Muborak,UZ,39.2553,65.1528,91.94,8,0,9.4,clear sky
255,Mindelo,CV,16.8901,-24.9804,83.75,65,40,8.05,scattered clouds
256,Anadyr,RU,64.75,177.4833,30.7,74,0,13.42,clear sky
257,Klaksvik,FO,62.2266,-6.589,50.92,73,81,37.94,broken clouds
258,Rawson,AR,-43.3002,-65.1023,52.32,63,23,11.56,few clouds
259,Merrill,US,45.1805,-89.6835,55.17,97,100,4.61,overcast clouds
260,Shuangcheng,CN,45.35,126.2833,65.88,77,4,15.37,clear sky
261,Kapit,MY,2.0167,112.9333,76.46,95,100,1.23,overcast clouds
262,Stratford,US,41.1845,-73.1332,63.95,82,75,0.0,broken clouds
263,Kasongo-Lunda,CD,-6.4667,16.8167,85.73,50,100,3.98,overcast clouds
264,Mari-Turek,RU,56.7895,49.6235,49.35,89,100,7.96,moderate rain
265,Santa Isabel,BR,-23.3156,-46.2214,60.51,62,79,6.22,broken clouds
266,Khasan,RU,42.4308,130.6434,60.13,85,95,4.7,overcast clouds
267,Verin,ES,41.9415,-7.4381,65.57,33,0,0.92,clear sky
268,Belaya Gora,RU,68.5333,146.4167,27.79,86,17,5.23,few clouds
269,Shieli,KZ,44.1667,66.75,92.23,10,0,7.43,clear sky
270,Pustomyty,UA,49.7153,23.913,56.12,66,100,6.85,overcast clouds
271,San Patricio,US,28.017,-97.5169,80.49,83,1,4.83,clear sky
272,Ixtapa,MX,20.7,-105.2,78.22,94,20,5.75,few clouds
273,Saint Anthony,US,45.0205,-93.218,55.0,88,0,9.22,clear sky
274,Sitka,US,57.0531,-135.33,55.29,88,100,5.75,mist
275,Latung,PH,5.5,120.8833,84.61,74,100,12.24,overcast clouds
276,Orotukan,RU,62.2667,151.7,26.31,88,100,0.38,overcast clouds
277,Havre-Saint-Pierre,CA,50.2334,-63.5986,43.16,87,100,16.11,overcast clouds
278,Gardez,AF,33.5974,69.2259,70.36,10,0,5.75,clear sky
279,Yar-Sale,RU,66.8333,70.8333,35.58,63,92,14.58,overcast clouds
280,Pisco,PE,-13.7,-76.2167,59.05,77,20,11.5,smoke
281,Azovo,RU,54.6997,73.0237,51.55,62,99,16.62,overcast clouds
282,Ornskoldsvik,SE,63.2909,18.7153,54.55,87,100,9.22,overcast clouds
283,Urusha,RU,54.05,122.9,38.39,73,98,4.5,overcast clouds
284,Shahr-E Babak,IR,30.1165,55.1186,84.47,8,0,13.18,clear sky
285,Fare,PF,-16.7,-151.0167,77.23,77,10,20.04,light rain
286,Tazmalt,DZ,36.3868,4.3989,78.3,46,100,12.39,light rain
287,Porto Santo,PT,33.072,-16.3415,73.78,64,40,18.41,scattered clouds
288,Cayenne,GF,4.9333,-52.3333,84.24,74,75,6.91,broken clouds
289,Bonavista,CA,48.6499,-53.1147,57.04,80,78,21.94,broken clouds
290,Harindanga,IN,22.0383,88.3214,82.27,77,86,7.34,overcast clouds
291,Hervey Bay,AU,-25.2986,152.8535,68.29,61,0,4.85,clear sky
292,Abu Dhabi,AE,24.4667,54.3667,96.91,66,0,10.36,clear sky
293,Tra Vinh,VN,9.9347,106.3453,78.91,87,82,4.14,moderate rain
294,Gat,IL,31.61,34.7642,96.4,34,0,16.58,clear sky
295,Nador,MA,35.174,-2.9287,82.47,47,20,6.91,few clouds
296,Tazovskiy,RU,67.4667,78.7,31.66,71,100,17.56,overcast clouds
297,Kisesa,TZ,-3.0833,34.15,85.15,24,97,8.41,overcast clouds
298,Estelle,US,29.8458,-90.1067,78.78,82,15,0.0,mist
299,Broome,US,42.2506,-75.833,55.71,78,100,5.75,overcast clouds
300,Prachin Buri,TH,14.0833,101.6667,73.87,99,100,2.39,moderate rain
301,Paraiso,CR,9.8383,-83.8656,63.41,93,92,1.07,overcast clouds
302,Clyde River,CA,70.4692,-68.5914,41.23,65,0,17.27,clear sky
303,Ballina,AU,-28.8667,153.5667,62.02,95,0,3.94,clear sky
304,Kenai,US,60.5544,-151.2583,39.15,98,75,4.61,broken clouds
305,Deputatskiy,RU,69.3,139.9,22.71,92,100,3.36,overcast clouds
306,Qaqortoq,GL,60.7167,-46.0333,51.42,57,100,9.33,overcast clouds
307,San-Pedro,CI,4.7485,-6.6363,78.71,84,100,9.06,light rain
308,Supaul,IN,26.1167,86.6,81.39,82,100,5.39,overcast clouds
309,Luderitz,NA,-26.6481,15.1594,60.78,63,30,10.25,scattered clouds
310,Kamenka,RU,51.3223,42.7678,48.13,81,100,15.1,overcast clouds
311,Barrow,US,71.2906,-156.7887,30.22,86,100,17.27,overcast clouds
312,Palmer,US,42.1584,-72.3287,55.18,86,75,0.0,broken clouds
313,Boende,CD,-0.2167,20.8667,93.81,35,43,2.15,scattered clouds
314,Kununurra,AU,-15.7667,128.7333,82.38,57,100,10.36,overcast clouds
315,Mahon,ES,39.8885,4.2658,72.16,68,75,16.11,broken clouds
316,Chapais,CA,49.7834,-74.8492,44.38,73,42,2.8,scattered clouds
317,Umm Lajj,SA,25.0213,37.2685,92.52,45,94,7.58,overcast clouds
318,Herat,AF,34.5,62.0,79.95,10,0,26.98,clear sky
319,Gaimersheim,DE,48.807,11.368,59.77,80,75,2.3,broken clouds
320,Xichang,CN,27.8964,102.2634,59.18,92,99,0.51,moderate rain
