City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
31,Esperance,AU,56.71,scattered clouds,-33.8667,121.9,Hospitality Esperance
32,Mataura,NZ,49.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
33,Vila Velha,BR,69.75,overcast clouds,-20.3297,-40.2925,Hotel Vitória Palace
34,Longyearbyen,SJ,44.44,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
35,Cape Town,ZA,68.11,scattered clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
36,Castro,BR,51.42,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
37,Nara,JP,75.49,few clouds,34.6851,135.8049,Guesthouse Nara Komachi
39,Harnosand,SE,55.42,scattered clouds,62.6323,17.9379,First Hotel Stadt
40,Ilulissat,GL,33.82,few clouds,69.2167,-51.1,Hotel Arctic
41,Grand Gaube,MU,76.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
42,Champerico,GT,75.74,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
43,Lompoc,US,60.53,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
44,Yellowknife,CA,37.92,broken clouds,62.456,-114.3525,The Explorer Hotel
45,Sibu,MY,77.31,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
46,Ribas Do Rio Pardo,BR,77.25,scattered clouds,-20.4431,-53.7592,Pousada Avenida
47,Pangnirtung,CA,39.24,few clouds,66.1451,-65.7125,Kilabuk Lodge
48,Katsuura,JP,73.33,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
49,Sechura,PE,62.24,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
50,Hermanus,ZA,67.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
51,Assiniboia,CA,33.62,clear sky,49.6334,-105.9845,Canalta Hotel Assiniboia
52,Puerto Ayora,EC,65.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
53,Paine,CL,56.71,scattered clouds,-33.8167,-70.75,Hotel El Almendro by DOT Light
54,Bahia Blanca,AR,57.61,overcast clouds,-38.7196,-62.2724,Hotel Argos
55,Pevek,RU,29.71,scattered clouds,69.7008,170.3133,Severnoye Zoloto
56,Tasiilaq,GL,44.76,few clouds,65.6145,-37.6368,The Red House
57,Dong Hoi,VN,77.72,scattered clouds,17.4833,106.6,Nam Long Hotel
58,Carnarvon,AU,65.52,clear sky,-24.8667,113.6333,Hospitality Carnarvon
59,Chuy,UY,58.91,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
60,Yining,CN,67.23,broken clouds,29.0361,114.5636,Xiushui Hotel
62,Leningradskiy,RU,31.28,light snow,69.3833,178.4167,Gostinitsa
63,Nikolskoye,RU,46.78,overcast clouds,59.7035,30.7861,Tourist House - Sablino
65,Barpali,IN,82.13,overcast clouds,21.2,83.5833,GREEN HOUSE LODGE
66,Hobart,AU,49.86,clear sky,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
67,Alofi,NU,73.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
68,Bethel,US,59.49,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
69,Hambantota,LK,85.24,broken clouds,6.1241,81.1185,Bungalow 63
70,Bhavnagar,IN,85.82,scattered clouds,21.7667,72.15,Hotel Mausam
71,Siuna,NI,70.97,broken clouds,13.7332,-84.7773,hotel los chinitos
73,Cidreira,BR,63.0,scattered clouds,-30.1811,-50.2056,Hotel Castelo
75,Marzuq,YE,90.99,broken clouds,14.4,46.4667,حيد القفلة
76,San Pedro De Ycuamandiyu,PY,63.14,overcast clouds,-24.0917,-57.0764,Hotel Refugio
78,Port Alfred,ZA,85.89,broken clouds,-33.5906,26.891,The Halyards Hotel
79,Broken Hill,AU,71.42,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
80,Hay River,CA,39.18,broken clouds,60.8156,-115.7999,Ptarmigan Inn
81,Dingle,PH,76.62,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
82,Khani,GE,58.57,broken clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
83,York,US,59.49,clear sky,40.1254,-77.0,Rodeway Inn
84,Floro,NO,50.23,light rain,61.5996,5.0328,Kinn Hotell Florø
85,Pierre,US,53.28,broken clouds,44.3683,-100.351,Ramkota Hotel
86,Paris,FR,66.99,few clouds,48.8534,2.3488,Britannique Hotel - Paris Centre
87,Bredasdorp,ZA,68.0,light rain,-34.5322,20.0403,Bredasdorp Country Manor
88,Bryan,US,73.15,mist,30.6744,-96.37,Best Western Premier Bryan College Station
90,Hilo,US,76.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
91,Upernavik,GL,30.27,overcast clouds,72.7868,-56.1549,Café de Upernavik
92,Namatanai,PG,79.93,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
93,Narsaq,GL,48.42,overcast clouds,60.9167,-46.05,Sleep In Narsaq
94,Wajid,SO,89.19,broken clouds,3.8093,43.2471,xamdihotelresturant114
95,Tam Ky,VN,77.14,scattered clouds,15.5667,108.4833,Nhà Nghỉ Phương Hòa
96,Richards Bay,ZA,94.03,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
97,Sao Filipe,CV,79.12,broken clouds,14.8961,-24.4956,Hotel Xaguate
